reaction_id,manual_relevancia,llm_relevancia,match_relevancia,manual_tema,llm_tema,match_tema,manual_emocao,llm_emocao,match_emocao,manual_polaridade,llm_polaridade,match_polaridade,manual_intencao,llm_intencao,match_intencao
04f0bd72e12726cb,RELEVANTE,RELEVANTE,TRUE,DIRETORIA,DIRETORIA,TRUE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,COBRANCA,CRITICA,FALSE
0c603ef2d22dd120,RELEVANTE,RELEVANTE,TRUE,RIVALIDADE,TORCIDA,FALSE,RAIVA,FRUSTRACAO,FALSE,NEGATIVO,NEGATIVO,TRUE,PROVOCACAO,CRITICA,FALSE
14d9e4415c8bda7e,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,CATEGORIA_BASE,FALSE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
205deac3e67647f4,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,CATEGORIA_BASE,FALSE,IRONIA,FRUSTRACAO,FALSE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
2935259613b40931,RELEVANTE,RELEVANTE,TRUE,CONTRATACAO,CONTRATACAO,TRUE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,COBRANCA,CRITICA,FALSE
2aabaaa64cd5536e,RELEVANTE,RELEVANTE,TRUE,COMUNICACAO_DO_CLUBE,CATEGORIA_BASE,FALSE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
35d587abe951df47,RELEVANTE,RELEVANTE,TRUE,DESEMPENHO_EM_CAMPO,DESEMPENHO_EM_CAMPO,TRUE,FRUSTRACAO,FRUSTRACAO,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
41ced19eed799552,RELEVANTE,RELEVANTE,TRUE,COMUNICACAO_DO_CLUBE,CATEGORIA_BASE,FALSE,NEUTRO,NEUTRO,TRUE,NEUTRO,NEUTRO,TRUE,PERGUNTA,PERGUNTA,TRUE
41d7d5276e73ed44,POUCO_INFORMATIVO,RELEVANTE,FALSE,ELENCO,OUTRO,FALSE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
43a76c2fd290cacd,RELEVANTE,RELEVANTE,TRUE,TECNICO,CATEGORIA_BASE,FALSE,RAIVA,RAIVA,TRUE,NEGATIVO,NEGATIVO,TRUE,CRITICA,CRITICA,TRUE
